
 fun F-01 | d 10000 |

 m 200 | t 3.104568802053109 | y 58.30356755003426 | x [6 1 5 ... 5 7 7]
 m 1300 | t 7.070293623954058 | y 58.2036225502569 | x [2 5 3 ... 2 6 9]
 m 1500 | t 7.859456876059994 | y 58.19124998373435 | x [10  5  1 ... 10  5  8]
 m 1800 | t 8.964526016963646 | y 58.13195374421905 | x [ 5  8 10 ...  5  2  7]
 m 2100 | t 10.056516137905419 | y 58.00060453257 | x [ 6  9  3 ...  6 10  2]
 m 2600 | t 11.858107700943947 | y 57.83365335082499 | x [2 0 1 ... 6 9 5]
 m 3000 | t 13.322070220950991 | y 57.800253169797905 | x [5 0 8 ... 0 0 2]
 m 3400 | t 14.775615165010095 | y 57.56804681470518 | x [5 0 0 ... 6 4 1]
 m 4600 | t 19.1155872780364 | y 57.434265082329304 | x [7 1 1 ... 3 5 2]
 m 5400 | t 21.985478786053136 | y 57.39923690173576 | x [2 5 6 ... 5 5 4]
 m 5900 | t 23.76170216104947 | y 57.35257467384015 | x [2 4 8 ... 4 5 4]
 m 6100 | t 24.46853498602286 | y 57.30994703529497 | x [ 5  7  3 ...  5 10  4]
 m 6300 | t 25.17597572412342 | y 57.222818274177236 | x [ 5  2  2 ...  6  4 10]
 m 6700 | t 26.58547549904324 | y 57.1952136030788 | x [0 0 9 ... 6 6 0]
 m 7300 | t 28.705070544034243 | y 57.10471695276777 | x [1 8 6 ... 4 3 9]
 m 7800 | t 30.468782546930015 | y 56.90002142780626 | x [4 0 3 ... 0 6 9]
 
 fun F-09 | d 10000 |

 m 100 | t 2.631261859089136 | y 336651.0 | x [9 3 1 ... 1 3 8]
 m 1200 | t 6.671334594953805 | y 335274.0 | x [10  2  3 ...  2  5  7]
 m 1300 | t 7.047463865019381 | y 334276.0 | x [ 2  0  9 ... 10  1  2]
 m 1400 | t 7.4103896480519325 | y 332188.0 | x [1 3 8 ... 5 1 0]
 m 1800 | t 8.890700296033174 | y 331326.0 | x [8 1 6 ... 4 6 0]
