
 fun P-01 | nbb 5 |

 m 2700 | t 2.447925426065922 | y -3.883898845664475 |
 m 3800 | t 2.5617445340612903 | y -4.02041279366995 |
 m 4500 | t 2.6342399910790846 | y -4.034131358133101 |

 fun P-05 | nbb 25 |

 m 100 | t 2.0689835710218176 | y -1.6584086580294164 |
 m 200 | t 2.0819607180310413 | y -2.879750809810226 |
 m 400 | t 2.105904704076238 | y -3.0447460563332487 |
 m 1100 | t 2.1875537669984624 | y -3.2114601699244023 |
 m 1700 | t 2.2575417950283736 | y -3.4809492851614405 |
 m 2000 | t 2.2931543909944594 | y -3.677879603215239 |
 m 2500 | t 2.352343547041528 | y -3.8230329357077335 |
 m 2700 | t 2.376092985039577 | y -3.837201407637319 |
 m 3500 | t 2.469904692028649 | y -4.02041279366995 |
 m 4200 | t 2.552281804033555 | y -4.034131358133101 |

 fun P-05 | nbb 30 |

 m 90 | t 2.090247039915994 | y -1.5170066914863232 |
 m 180 | t 2.104901162907481 | y -1.7604805665921324 |
 m 270 | t 2.118680448969826 | y -2.312247285401298 |
 m 360 | t 2.13230694597587 | y -2.3631999419912906 |
 m 720 | t 2.1861364119686186 | y -2.579686918062043 |
 m 900 | t 2.213139181956649 | y -2.631091910234454 |
 m 1080 | t 2.2401326639810577 | y -2.8871941200802804 |
 m 1260 | t 2.2670015399344265 | y -3.2240799523468735 |
