
 fun P-01 | d 10000 |

 m 400 | t 3.7990927509963512 | y 4861.811857693396 | x [1 9 4 ... 1 5 1]
 m 600 | t 4.523607849958353 | y 4856.086481024721 | x [1 2 6 ... 8 7 1]
 m 1400 | t 7.414321215939708 | y 4852.7072374326 | x [3 0 3 ... 2 9 6]
 m 1800 | t 8.865246033994481 | y 4820.684439373906 | x [ 2 10  0 ...  2  5  4]
 m 4000 | t 16.843739302945323 | y 4814.566314509294 | x [ 6  4 10 ...  8  5  7]
 m 7000 | t 27.77661302802153 | y 4813.348776008928 | x [6 4 9 ... 6 5 4]
 m 7300 | t 28.874001613934524 | y 4813.026861092953 | x [ 3  6  4 ...  2 10  2]
 m 7400 | t 29.238995576975867 | y 4806.9498104434515 | x [2 7 7 ... 3 3 4]
 m 8900 | t 34.65666848793626 | y 4791.950702715169 | x [5 1 6 ... 6 6 1]
 m 9500 | t 36.80803061800543 | y 4777.169614911349 | x [6 6 4 ... 3 5 8]
 m 9900 | t 38.22690833394881 | y 4775.767355180151 | x [ 6  5 10 ... 10  6  8]
 m 10000 | t 38.440303307026625 | y 4775.767355180151 | x [ 6  5 10 ... 10  6  8]

 fun P-10 | d 10000 |

 m 100 | t 2.5612268019467592 | y 4167627.788765733 | x [ 3  3  3 ...  2  8 10]
 m 300 | t 3.2563573019579053 | y 4167579.3282835768 | x [6 9 3 ... 4 9 2]
 m 400 | t 3.6012468199478462 | y 4167570.1920726486 | x [4 7 4 ... 9 6 9]
 m 500 | t 3.9440650950418785 | y 4167548.5523015712 | x [ 3  8  4 ...  7 10 10]
 m 600 | t 4.288939554011449 | y 4167412.1657131435 | x [1 1 4 ... 9 6 9]
 m 900 | t 5.323150699958205 | y 4167376.3697894015 | x [ 4  1  4 ...  3  8 10]
 m 1200 | t 6.356651770998724 | y 4167257.3643592875 | x [9 5 0 ... 5 5 9]
 m 1700 | t 8.075429721036926 | y 4167125.4696248407 | x [ 6  6  0 ... 10  9  0]
 m 2400 | t 10.468394726980478 | y 4167084.6555514564 | x [10  6  3 ... 10  5  9]
 m 2700 | t 11.4851464870153 | y 4167029.235278718 | x [ 6  1  5 ... 10  9  6]
 m 2900 | t 12.163738916045986 | y 4167011.7124667885 | x [5 1 4 ... 9 7 0]
 m 3000 | t 12.516560717020184 | y 4166986.9189265915 | x [ 5  6  0 ... 10  9  5]
 m 3100 | t 12.87422423704993 | y 4166938.858690849 | x [10 10  3 ...  3  1  5]
 m 3600 | t 14.65231239295099 | y 4166920.2133947043 | x [10  4  2 ...  0  8  5]
 m 3700 | t 15.008699566009454 | y 4166803.3264353247 | x [5 1 5 ... 8 9 8]
 m 4200 | t 16.780230042990297 | y 4166791.932210358 | x [ 3 10  8 ...  3  8  1]
 m 4300 | t 17.135654262034222 | y 4166756.652159056 | x [2 6 8 ... 8 2 9]
 m 4500 | t 17.842741396045312 | y 4166684.075957879 | x [9 6 3 ... 5 9 9]
 m 5100 | t 19.95166653697379 | y 4166647.841358302 | x [0 3 4 ... 8 9 7]
 m 5800 | t 22.42199415899813 | y 4166540.7160046655 | x [5 6 3 ... 4 3 9]
 m 6100 | t 23.482308982987888 | y 4166465.8064918816 | x [ 6  6  3 ...  3 10  6]
 m 7000 | t 26.674976967042312 | y 4166455.7028256287 | x [7 6 4 ... 4 9 9]
 m 7200 | t 27.384716355009004 | y 4166445.514968669 | x [ 7 10  4 ...  6  4  7]
 m 7700 | t 29.162528789951466 | y 4166440.8852909943 | x [0 5 1 ... 8 4 7]
 m 7800 | t 29.519471082952805 | y 4166419.7699994724 | x [6 1 3 ... 3 6 9]
 m 8100 | t 30.58279211097397 | y 4166361.809049448 | x [ 6  3  8 ... 10  2  5]
 m 8300 | t 31.29233522701543 | y 4166292.2388038863 | x [10  3  1 ...  9  3  9]
 m 8800 | t 33.072118034004234 | y 4166156.745919412 | x [ 7 10  4 ... 10  8  5]
 m 9700 | t 36.27476136095356 | y 4166145.9061848014 | x [10  4  1 ...  6  2  3]
 m 10000 | t 37.200976927997544 | y 4166145.9061848014 | x [10  4  1 ...  6  2  3]


 

 fun P-01 | d 1000000 |

 m 100 | t 50.34681004099548 | y 13.865545934768399 | x [4 7 2 ... 3 8 7]
 m 400 | t 173.3404951840639 | y 13.864278430039521 | x [10  7  2 ...  6  5  9]
 m 500 | t 211.77510398696177 | y 13.862907793142298 | x [9 2 4 ... 6 5 6]
 m 900 | t 363.7577674629865 | y 13.860273586663228 | x [5 5 3 ... 3 5 7]
 m 1300 | t 520.6965476219775 | y 13.85935677908129 | x [10  5  8 ...  8  8  2]
 m 1600 | t 637.911297966959 | y 13.855395566438146 | x [ 0  7 10 ...  7  0  8]
 m 2000 | t 791.6403958289884 | y 13.855004944733501 | x [0 4 2 ... 6 0 2]
 m 2200 | t 871.172543587978 | y 13.854793733726831 | x [ 2  4  5 ... 10  0  4]
 m 2300 | t 911.8093717830488 | y 13.851068884982727 | x [6 2 6 ... 5 3 7]
 m 3100 | t 1226.6151554060634 | y 13.850871813730325 | x [ 1 10  3 ... 10  1  7]
 m 3200 | t 1264.4910437120125 | y 13.849203330894644 | x [9 4 8 ... 5 8 2]
 m 3300 | t 1302.6522543510655 | y 13.846908622565673 | x [9 4 7 ... 8 3 5]
 m 4100 | t 1603.9613588689826 | y 13.84655876705921 | x [4 2 4 ... 5 0 5]
 m 4200 | t 1642.4131284470204 | y 13.84318569885225 | x [ 2 10  5 ...  3  5  9]
 m 5200 | t 2028.7696602250217 | y 13.841815962095215 | x [ 0  7  5 ...  2  5 10]
 m 5600 | t 2184.1334313730476 | y 13.84176514670554 | x [1 1 6 ... 7 0 4]
 m 6100 | t 2375.3627669389825 | y 13.841291668939212 | x [ 0  2  8 ...  5  0 10]
 m 6300 | t 2458.143044003984 | y 13.840780680805926 | x [ 2 10  8 ...  8  5  9]

 fun P-01 | d 1000000 |

 m 6500 | t 2535.367009412963 | y 13.83881861997902 | x [0 2 5 ... 2 4 5]
