fun P-01 | nbb 5 |

 m 750 | t 2.2852942509343848 | y 0.33362879713008364 |
 m 1000 | t 2.377661240985617 | y 0.33362879713008364 |

 fun P-05 | nbb 5 |

 m 5 | t 2.06334498396609 | y -2.2941350569251564 |
 m 15 | t 2.0765253650024533 | y -2.3046906496863997 |
 m 25 | t 2.0877666029846296 | y -2.591608923116416 |
 m 40 | t 2.104490643949248 | y -2.681419792156379 |
 m 45 | t 2.110118601936847 | y -3.014844986372128 |
 m 55 | t 2.121301809907891 | y -3.8976174101276264 |
 m 115 | t 2.1874865479767323 | y -4.02041279366995 |
 m 140 | t 2.2152209599735215 | y -4.034131358133101 |
 m 1000 | t 3.1556143818888813 | y -4.034131358133101 |

 fun P-05 | nbb 10 |

 m 10 | t 2.0484644239768386 | y -2.566844588066975 |
 m 50 | t 2.078481848933734 | y -2.6031304895799416 |
 m 60 | t 2.0855905009666458 | y -2.7341598839868535 |
 m 90 | t 2.1068655609851703 | y -3.201583176796303 |
 m 120 | t 2.1278384079923853 | y -3.480499774210547 |
 m 160 | t 2.155709379003383 | y -3.4946678496245784 |
 m 170 | t 2.162774228025228 | y -3.515166920119561 |
 m 200 | t 2.1837106560124084 | y -3.5259404035040114 |
 m 230 | t 2.2048746759537607 | y -3.6915988576318446 |
 m 250 | t 2.2188803689787164 | y -4.02041279366995 |
 m 320 | t 2.26752937794663 | y -4.034131358133101 |
 m 1000 | t 2.7386192260310054 | y -4.034131358133101 |

 fun P-05 | nbb 15 |

 m 15 | t 2.273107632994652 | y -2.6040409122416346 |
 m 75 | t 2.3087118790717795 | y -2.6568227099822885 |
 m 105 | t 2.3255563880084082 | y -3.176373605456126 |
 m 150 | t 2.350749127101153 | y -3.518381989050681 |
 m 195 | t 2.375795588013716 | y -3.525940403503966 |
 m 270 | t 2.417409585090354 | y -3.835951007221041 |
 m 330 | t 2.450773188029416 | y -3.837201040079308 |
 m 345 | t 2.4591579160187393 | y -4.034131358133101 |
 m 1005 | t 2.8219978550914675 | y -4.034131358133101 |

 fun P-05 | nbb 20 |

 m 20 | t 2.0575512130744755 | y -2.610725444731554 |
 m 80 | t 2.0894271980505437 | y -2.611937158153106 |
 m 140 | t 2.119269672082737 | y -2.801187581304605 |
